No,アルバムシリーズ,name,楽曲,13人,39PROJECT,765 MILLIONSTARS,エミリー・スチュアート,ジュリア,ロコ,七尾百合子,三浦あずさ,中谷育,二階堂千鶴,伊吹翼,伴田路子,佐竹美奈子,北上麗花,北沢志保,双海亜美,双海真美,周防桃子,四条貴音,大神環,天海春香,天空橋朋花,如月千早,宮尾美也,島原エレナ,徳川まつり,我那覇響,所恵美,星井美希,春日未来,最上静香,望月杏奈,木下ひなた,松田亜利沙,桜守歌織,横山奈緒,水瀬伊織,永吉昴,田中琴葉,白石紬,百瀬莉緒,真壁瑞希,矢吹可奈,福田のり子,秋月律子,箱崎星梨花,篠宮可憐,舞浜歩,菊地真,萩原雪歩,豊川風花,野々原茜,馬場このみ,高坂海美,高山紗代子,高槻やよい
5,LIVE THE@TER PERFORMANCE,(LTP02),Legend Girls!!,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
6,LIVE THE@TER PERFORMANCE,(LTP03),PRETTY DREAMER,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,1,,,,,
7,LIVE THE@TER PERFORMANCE,(LTP04),Blue Symphony,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
8,LIVE THE@TER PERFORMANCE,(LTP05),Sentimental Venus,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,
9,LIVE THE@TER PERFORMANCE,(LTP06),Marionetteは眠らない,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LIVE THE@TER PERFORMANCE,(LTP07),カワラナイモノ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,
11,LIVE THE@TER PERFORMANCE,(LTP08),"Good-Sleep, Baby?",,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
12,LIVE THE@TER PERFORMANCE,(LTP09),Helloコンチェルト,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,
13,LIVE THE@TER PERFORMANCE,(LTP10),瞳の中のシリウス,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
14,LIVE THE@TER PERFORMANCE,(LTP11),Fu-Wa-Du-Wa,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
15,LIVE THE@TER PERFORMANCE,(LTP12),ココロがかえる場所,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
16,LIVE THE@TER PERFORMANCE,(LTP13),Bigバルーン◎,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,
17,LIVE THE@TER HARMONY,レジェンドデイズ,合言葉はスタートアップ!,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1
18,LIVE THE@TER HARMONY,乙女ストーム!,Growing Storm!,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
19,LIVE THE@TER HARMONY,クレシェンドブルー,Shooting Stars,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,
20,LIVE THE@TER HARMONY,エターナルハーモニー,Eternal Harmony,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
21,LIVE THE@TER HARMONY,リコッタ,"HOME, SWEET FRIENDSHIP",,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,
22,LIVE THE@TER HARMONY,灼熱少女,ジレるハートに火をつけて,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
23,LIVE THE@TER HARMONY,BIRTH,Birth of Color,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,
24,LIVE THE@TER HARMONY,ミックスナッツ,ドリームトラベラー,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
25,LIVE THE@TER HARMONY,ミルキーウェイ,星屑のシンフォニア,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
26,LIVE THE@TER HARMONY,ARRIVE,STANDING ALIVE,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
38,THE@TER ACTIVITIES,(リリィ・ナイトと天空の騎士団),創造は始まりの風を連れて,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
39,THE@TER ACTIVITIES,(果てしなく仁義ない戦い 魅梨音闘争篇),?気乱舞,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
40,THE@TER ACTIVITIES,(魅裏怨),赤い世界が消える頃,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,
41,LIVE THE@TER FORWARD,Sunshine Rhythm,サンリズム・オーケストラ♪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LIVE THE@TER FORWARD,レオ,ゲキテキ!ムテキ!恋したい!,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LIVE THE@TER FORWARD,キャンサー,ランニング・ハイッ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
44,LIVE THE@TER FORWARD,リブラ,Bonnes! Bonnes!! Vacances!!!,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
45,LIVE THE@TER FORWARD,カプリコーン,NO CURRY NO LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,
46,LIVE THE@TER FORWARD,ソル,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
47,LIVE THE@TER FORWARD,BlueMoon Harmony,brave HARMONY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LIVE THE@TER FORWARD,ウィルゴ,プリムラ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
49,LIVE THE@TER FORWARD,サジタリアス,Raise the FLAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
50,LIVE THE@TER FORWARD,ピスケス,P.S I Love You,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
51,LIVE THE@TER FORWARD,アクアリウス,待ちぼうけのLacrima,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
52,LIVE THE@TER FORWARD,ルナ,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
53,LIVE THE@TER FORWARD,Starlight Melody,Starry Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,LIVE THE@TER FORWARD,アリエス,Sweet Sweet Soul,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
55,LIVE THE@TER FORWARD,タウラス,メメント?モメント♪ルルルルル☆,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
56,LIVE THE@TER FORWARD,ジェミニ,永遠の花,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
57,LIVE THE@TER FORWARD,スコーピオ,リフレインキス,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,
58,LIVE THE@TER FORWARD,ステラ,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
59,MILLION THE@TER GENERATION,フェアリースターズ,FairyTaleじゃいられない,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
60,MILLION THE@TER GENERATION,エンジェルスターズ,Angelic Parade♪,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,
61,MILLION THE@TER GENERATION,プリンセススターズ,Princess Be Ambitious!!,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
62,MILLION THE@TER GENERATION,夜想令嬢-GRAC&E_NOCTURNE-,昏き星、遠い月; Everlasting,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
63,MILLION THE@TER GENERATION,Cleasky,虹色letters; 想い出はクリアスカイ,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,MILLION THE@TER GENERATION,トゥインクルリズム,ZETTAI×BREAK!!トゥインクルリズム; Tomorrow Program,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
65,MILLION THE@TER GENERATION,EScape,Melty Fantasia; I.D～EScape from Utopia～,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
66,MILLION THE@TER GENERATION,4Luxury,花ざかりWeekend?;  RED ZONE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
67,MILLION THE@TER GENERATION,閃光☆HANABI団,咲くは浮世の君花火; BORN ON DREAM! ～HANABI☆NIGHT～,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,
68,MILLION THE@TER GENERATION,D/Zeal,ハーモニクス; 餞の鳥,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
69,MILLION THE@TER GENERATION,りるきゃん ?3 little candy?,ハルマチ女子; 彼氏になってよ｡,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
70,MILLION THE@TER GENERATION,Charlotte・Charlotte,だってあなたはプリンセス; ミラージュ・ミラー,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,MILLION THE@TER GENERATION,Jelly PoP Beans,月曜日のクリームソーダ;  I did+I will,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
72,MILLION THE@TER GENERATION,ピコピコプラネッツ,ピコピコIIKO! インベーダー; Get lol! Get lol! SONG,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,
73,MILLION THE@TER GENERATION,STAR ELEMENTS,Episode. Tiara; ギブミーメタファー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,
74,THE@TER BOOST,(ビッグバンズバリボー!!!!!),ビッグバンズバリボー!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,
75,THE@TER BOOST,(空猫珈琲店へようこそ!),オーディナリィ・クローバー,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,
76,THE@TER BOOST,(屋根裏の道化師),ラスト・アクトレス,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,,,
77,MILLION THE@TER WAVE,ジェネシス×ネメシス,Justice OR Voice,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,
78,MILLION THE@TER WAVE,(White Vows),White Vows,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,1,,,
79,MILLION THE@TER WAVE,Chrono-Lexica,dans l’obscurite; 囚われのTeaTime,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,
80,MILLION THE@TER WAVE,Xs,ラビットファー; Dreamy Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,
81,MILLION THE@TER WAVE,Sherry 'n Cherry,Cherry Colored Love; 夜と、明かりと。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
82,MILLION THE@TER WAVE,ARCANA,Fermata in Rapsodia; DEpArture from THe life,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MILLION THE@TER WAVE,花咲夜,百花は月下に散りぬるを; 矛盾の月,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
84,MILLION THE@TER WAVE,Jus-2-Mint,Super Duper; Hang In There!,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
85,MILLION THE@TER WAVE,miraclesonic★expassion,絶対的Performer,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,
86,MILLION THE@TER WAVE,Fleuranges,Special Wonderful Smile,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,
87,MILLION THE@TER WAVE,オペラセリア・煌輝座,Parade d'amour,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
88,MILLION THE@TER WAVE,ダイヤモンドダイバー◇,"Deep, Deep Blue; VIVA☆アクアリズム",,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
89,THE@TER CHALLENGE,(Girl meets Wonder),Girl meets Wonder,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
90,THE@TER CHALLENGE,(World Changer),World Changer,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
91,THE@TER CHALLENGE,(誰ソ彼ノ淵),クルリウタ,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
